index,urlkey,timestamp,url,mime,mime-detected,status,digest,length,offset,filename,languages,encoding,redirect,truncated,index_name,success_status,html
49,"nl,slotzuylen)/slot/event/christmas-high-tea/2022-12-18",20241111105011,https://slotzuylen.nl/slot/event/christmas-high-tea/2022-12-18/,text/html,text/html,301,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,628,18081676,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/crawldiagnostics/CC-MAIN-20241111091854-20241111121854-00358.warc.gz,,,/agenda/,,CC-MAIN-2024-46,not processed,
48,"nl,slotzuylen)/series/kerst-in-het-kasteel-en-kerstvakantie",20241111101351,https://slotzuylen.nl/series/kerst-in-het-kasteel-en-kerstvakantie/,text/html,text/html,200,QCGCRBV373PAE23G4HJATRWPQGL56W27,24409,516148999,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00889.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
47,"nl,slotzuylen)/series/gratis-instaprondleiding",20241111113406,https://slotzuylen.nl/series/gratis-instaprondleiding/,text/html,text/html,200,55L2EXLUHFI2EZULMXRIMKBRZHCHC2WL,24362,495671448,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00298.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
46,"nl,slotzuylen)/series/christmas-high-tea-slot-zuylen",20241111110844,https://slotzuylen.nl/series/christmas-high-tea-slot-zuylen/,text/html,text/html,200,XZB7DBTAIC34BRBXJE53S7PP2OSDTQ55,25276,495383697,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00742.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
45,"nl,slotzuylen)/series/christmas-high-tea-slot-zuylen",20241111110844,http://slotzuylen.nl/series/christmas-high-tea-slot-zuylen/,text/html,text/html,301,LGGT76I5HYSS6HQT36GPANELE4H7FWR7,605,1058191,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/crawldiagnostics/CC-MAIN-20241111091854-20241111121854-00359.warc.gz,,,https://slotzuylen.nl/series/christmas-high-tea-slot-zuylen/,,CC-MAIN-2024-46,not processed,
44,"nl,slotzuylen)/route-parkeren",20241111095411,https://slotzuylen.nl/route-parkeren/,text/html,text/html,200,WQSLGCWWHXH3Y6WLPPTN26ATK3LTEZTJ,23194,492361741,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00879.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
42,"nl,slotzuylen)/robots.txt",20241111095137,http://slotzuylen.nl/robots.txt,text/html,text/html,301,LGGT76I5HYSS6HQT36GPANELE4H7FWR7,588,216603,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/robotstxt/CC-MAIN-20241111091854-20241111121854-00736.warc.gz,,,https://slotzuylen.nl/robots.txt,,CC-MAIN-2024-46,not processed,
43,"nl,slotzuylen)/robots.txt",20241111095137,https://slotzuylen.nl/robots.txt,text/plain,text/x-robots,200,7J4LGWJKIEH6FKPFYO3FYDWETCYEISJY,651,1232870,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/robotstxt/CC-MAIN-20241111091854-20241111121854-00763.warc.gz,,,,,CC-MAIN-2024-46,not processed,
40,"nl,slotzuylen)/robots.txt",20241103005442,https://www.slotzuylen.nl/robots.txt,text/plain,text/x-robots,200,7J4LGWJKIEH6FKPFYO3FYDWETCYEISJY,653,1813419,crawl-data/CC-MAIN-2024-46/segments/1730477027768.43/robotstxt/CC-MAIN-20241102231001-20241103021001-00358.warc.gz,,,,,CC-MAIN-2024-46,not processed,
34,"nl,slotzuylen)/locatie/slot-zuylen",20241111111924,https://slotzuylen.nl/locatie/slot-zuylen/,text/html,text/html,200,LY7ESQZTW2EPXKZC65QIBOEALZSXC4AD,25314,500366732,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00685.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
29,"nl,slotzuylen)/evenementenlocatie/slot-zuylen",20241111103158,https://slotzuylen.nl/evenementenlocatie/slot-zuylen/,text/html,text/html,200,WJODFA5VJUG4ELKDGYAGTB65YXWAY66A,25285,518872931,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00551.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
30,"nl,slotzuylen)/faq-huisregels",20241111104120,https://slotzuylen.nl/faq-huisregels/,text/html,text/html,200,ASKJBAEPAUMGOE5DL6ND7VBRDORU3D3O,21964,506617598,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00773.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
31,"nl,slotzuylen)/film-en-fotografie",20241111094037,https://slotzuylen.nl/film-en-fotografie/,text/html,text/html,200,O6NUF7BLCF7UU7LNKBDRRSOTOSRDLWWV,22394,505785856,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00784.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
32,"nl,slotzuylen)/historie",20241111094238,https://slotzuylen.nl/historie/,text/html,text/html,200,EWWABHYQEZ7RY4Z3NZY32RQB7WW2TDVK,21614,497720241,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00154.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
39,"nl,slotzuylen)/restauratie-buitenzijde",20241111101010,https://slotzuylen.nl/restauratie-buitenzijde/,text/html,text/html,200,H7PCSDSZI6SXWCYI5KDHCVIERLU2CBNX,21785,512010640,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00546.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
33,"nl,slotzuylen)/huisregels-verhuur",20241111094139,https://slotzuylen.nl/huisregels-verhuur/,text/html,text/html,200,3OYWWZ3Q7BIYYRCYX4WLYSKAEPPUN4AN,20328,498728561,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00172.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
35,"nl,slotzuylen)/onze-ruimtes",20241111104230,https://slotzuylen.nl/onze-ruimtes/,text/html,text/html,200,KYOX7FUMU5TS5BKMPXYNZVXGZGKDJ2NK,22606,489725337,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00503.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
36,"nl,slotzuylen)/over-ons",20241111115130,https://slotzuylen.nl/over-ons/,text/html,text/html,200,UXCOEVSCYIG2IBKRJAB73VLKZMFSKXZP,24278,502971102,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00460.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
37,"nl,slotzuylen)/privacyverklaring",20241111104850,https://slotzuylen.nl/privacyverklaring/,text/html,text/html,200,P5GIYF6M5XZPJUELGLA7D3XNQKUISLXA,20470,500165707,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00590.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
